Material,QTY.,SW-Folder Name(Folder Name),PART NUMBER,DESCRIPTION,SW-Configuration Name(Configuration Name),Finish
Gabon,1,C:\_PDM\Product data\Linjett 36\,12640,Botten livflotte lucka,Default,
Gabon,2,C:\_PDM\Product data\Linjett 36\,12641,Sidoväggar livflottestuv,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12642,Botten Akterstuv mot centrum,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12643,Botten BB akterstuv,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,13031,Monterings skiva pumpar,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12647,Längsgående sida låda ankarlina,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12648,Tvärgående sida låda ankarlina,Default,
Gabon,2,C:\_PDM\Product data\Linjett 36\,12655,Stöd förpik kojbotten ram akter förpik ,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12656,Botten överskåp hurts förpik BB,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12657,Botten SB akterstuv,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12660,Aktre skott baslåda,Default,
Gabon,2,C:\_PDM\Product data\Linjett 36\,12712,Lådsidor toa,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12713,Undersida corian toa,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12728,Botten förpiks garderob SB,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12770,Takskiva över dörrkarm B-hytt,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12771,Takskiva under avlastare B-hytt,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12776,Takskiva salong mitten aktre,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12777,Takskiva salong mitten främre,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12779,Takskiva salong SB mellersta,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12780,Takskiva salong SB yttre,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12781,Takskiva salong BB mellersta,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12782,Takskiva salong BB yttre,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12872,Stöd mot skrov bottnar BB soffa,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12873,Stöd mot skrov bottnar SB soffa,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12874,Aktre takskiva toa,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12875,Främre takskiva toa,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12876,Takskiva över handfat toa,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12877,Takskiva dusch toa,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12878,Takskiva fram förpik takmodul,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12880,Takskiva skåp över handfat toa,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12952,Skott mot skrov baslåda under SB soffa,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12961,Skott bakkant drev,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12973,Bottnar koj B-hytt,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12975,Monderings skiva akterstuv över tank,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12976,Lock över septic tank akterstuv,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12977,Nedgång regnbalja för gaskolv,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12978,Framsida regnbalja nedgång,Default,
Tricoya,1,C:\_PDM\Product data\Linjett 36\,12451,Topskiva navbord,Default,C A
Tricoya,1,C:\_PDM\Product data\Linjett 36\,12466,Kistlock B-hytt,Default,C A
Tricoya,1,C:\_PDM\Product data\Linjett 36\,12881,Lucka garderob B-hytt,Default,
Tricoya,1,C:\_PDM\Product data\Linjett 36\,12882,Lådfront under koj B-hytt,Default,
Tricoya,3,C:\_PDM\Product data\Linjett 36\,12883,Lucka överskåp pentry,Default,
Tricoya,1,C:\_PDM\Product data\Linjett 36\,12884,Lucka soptunna,Default,
Tricoya,1,C:\_PDM\Product data\Linjett 36\,12885,Lucka under diskho,Default,
Tricoya,1,C:\_PDM\Product data\Linjett 36\,12886,Lucka under spis,Default,
Tricoya,1,C:\_PDM\Product data\Linjett 36\,12887,Lucka under soffa BB salong,Default,
Tricoya,4,C:\_PDM\Product data\Linjett 36\,12888,Lucka SB/BB skåp salong,Default,
Tricoya,1,C:\_PDM\Product data\Linjett 36\,12889,Lucka SB garderob förpik,Default,
Tricoya,1,C:\_PDM\Product data\Linjett 36\,12890,Lucka BB garderob förpik,Default,
Tricoya,1,C:\_PDM\Product data\Linjett 36\,12891,Lådfront under steg förpik,Default,
Tricoya,4,C:\_PDM\Product data\Linjett 36\,12892,Lucka överskåp förpik,Default,
Tricoya,1,C:\_PDM\Product data\Linjett 36\,12893,Lucka nav el-central,Default,
Tricoya,1,C:\_PDM\Product data\Linjett 36\,12894,Lucka överskåp toa,Default,
Tricoya,1,C:\_PDM\Product data\Linjett 36\,12895,Låda akter om handfat toa,Default,
Tricoya,2,C:\_PDM\Product data\Linjett 36\,12896,Lucka aktre överskåp B-hytt,Default,
Tricoya,1,C:\_PDM\Product data\Linjett 36\,12897,Lådor pentry,Default,
Tricoya,3,C:\_PDM\Product data\Linjett 36\,12898,Lådor hurts förpik,Default,
Tricoya,1,C:\_PDM\Product data\Linjett 36\,12974,Lucka överskåp aktre,Default,
Ädel plywood,1,C:\_PDM\Product data\Linjett 36\,12248,Aktre luckfront pentry,Default,A C s
Ädel plywood,1,C:\_PDM\Product data\Linjett 36\,12250,Pentry front soptunna,Default,A C s
Ädel plywood,1,C:\_PDM\Product data\Linjett 36\,12252,Främre skott pentry,Default,A C s
Ädel plywood,1,C:\_PDM\Product data\Linjett 36\,12253,Sockel spis,Default,A C
Ädel plywood,1,C:\_PDM\Product data\Linjett 36\,12254,Sockel soptunna,Default,A C
Ädel plywood,1,C:\_PDM\Product data\Linjett 36\,12255,Sockel diskhoar,Default,A C
Ädel plywood,1,C:\_PDM\Product data\Linjett 36\,12256,Sockel framför pentry,Default,A C
Ädel plywood,1,C:\_PDM\Product data\Linjett 36\,12262,Främre skott övre pentry,Default,A C
Ädel plywood,1,C:\_PDM\Product data\Linjett 36\,12263,Kojfront salong BB,Default,A C
Ädel plywood,1,C:\_PDM\Product data\Linjett 36\,12266,Vinklad kojfront salong BB,Default,A C
Ädel plywood,1,C:\_PDM\Product data\Linjett 36\,12267,Kortsida vinklad kojfront salong BB,Default,A C
Ädel plywood,1,C:\_PDM\Product data\Linjett 36\,12268,Huvudskott salong BB skjutdörr Aktre,Default,A C
Ädel plywood,1,C:\_PDM\Product data\Linjett 36\,12270,Rygghylla BB salong,Default,A C
